9/30/2013,3832439,333477,0,14998788,91591,25914
10/1/2013,3963720,340153,0,15442070,92998,26454
10/2/2013,4068729,346202,0,15822068,94362,26926
10/3/2013,4163835,352393,0,16194364,95703,27430
10/4/2013,4237076,358196,0,16483424,96564,27693
10/5/2013,4293910,361578,0,16686274,96807,27757
10/6/2013,4403166,367714,0,16970690,97173,27887
10/7/2013,4523293,374292,0,17376010,98177,28287
10/8/2013,4615028,379780,0,17791950,99264,28676
10/9/2013,4709046,386039,0,18186964,100378,29091
10/10/2013,4791314,391682,0,18532472,101308,29488
10/11/2013,4848904,397115,0,18722260,103619,29704
10/12/2013,4895873,400269,0,18949982,105957,29747
10/13/2013,4992290,406378,0,19176722,106408,29836
10/14/2013,5073654,412225,0,19447530,107000,30057
10/15/2013,5169323,418770,0,19868692,107840,30318
10/16/2013,5255790,425923,0,20244510,108512,30563
10/17/2013,5332626,435247,0,20574324,109785,30817
10/18/2013,5396408,443300,0,20829858,110256,30998
10/19/2013,5443980,561526,0,20989244,110414,31053
10/20/2013,5543034,569571,0,21233234,110661,31140
10/21/2013,5637970,582849,0,21584744,111385,31458
10/22/2013,5732494,590970,0,21964182,112435,31725
10/23/2013,5820902,602222,0,22333596,113130,31982
10/24/2013,5894369,608503,0,22653212,113742,32228
10/25/2013,5951633,622103,0,22878966,114232,32397
10/26/2013,6001902,626157,0,23027126,114323,32415
10/27/2013,6101494,634243,0,23255890,114469,32457
10/28/2013,6200269,646566,0,23590912,115118,32690
10/29/2013,6289072,652745,0,23942176,115871,32995
10/30/2013,6367791,658601,0,24243168,116454,33198
10/31/2013,6428327,664653,0,24501814,116919,33402
11/1/2013,6481986,672119,0,24686274,117370,33578
11/2/2013,6523819,676235,0,24834126,117443,33610
11/3/2013,6622344,684235,0,25044508,117570,33646
11/4/2013,6717894,696646,0,25367446,118118,33882
11/5/2013,6795183,703521,0,25695942,118732,34135
11/6/2013,6874533,709726,0,26013356,119288,34328
11/7/2013,6944024,718289,0,26297462,119815,34542
11/8/2013,6993083,725241,0,26497588,120289,34701
11/9/2013,7032086,729163,0,26623832,120334,34705
11/10/2013,7109851,737918,0,26802424,120447,34736
11/11/2013,7192351,753027,0,27068534,120916,34953
11/12/2013,7276793,759284,0,27365954,121635,35192
11/13/2013,7349071,765800,0,27644826,122302,35447
11/14/2013,7413117,773078,0,27748578,122985,35732
11/15/2013,7461247,781602,0,27816728,123456,35933
11/16/2013,7502335,787472,0,27871672,123516,35949
11/17/2013,7580781,793834,0,27983868,123686,35997
11/18/2013,7661934,811447,0,28117200,124292,36240
11/19/2013,7730445,818518,0,28243148,125189,36521
11/20/2013,7796101,871413,0,28358016,126502,36759
11/21/2013,7851967,898853,0,28452968,127094,37037
11/22/2013,7891779,922441,0,28513060,127697,37284
11/23/2013,7927869,925421,0,28557058,127798,37339
